canonical_question_id,chapter,subtopic,question_pattern,micro_concept,difficulty_estimate,final_confidence
cq_000327_2215a4612d,Nature and Significance of Management,coordination,case-study diagnosis,management,hard,0.37
cq_000328_827e645e73,Nature and Significance of Management,social objective,case-study diagnosis,types of plans,hard,0.35
cq_000329_eb6a5bb7ed,Nature and Significance of Management,functions of management,case-study diagnosis,entrepreneur characteristics,hard,0.42
cq_000330_2681fd6ea7,Nature and Significance of Management,functions of management,case-study diagnosis,training,hard,0.99
cq_000331_5db5e4b926,Production and Operations Management,Economies of Scale,case-study diagnosis,production,hard,0.35
cq_000332_5a7c18f23b,Marketing,product,definition-based,product mix,medium,0.99
cq_000333_5ad0dfce78,Marketing,product,definition-based,product mix,medium,0.90
cq_000334_e8a866cd42,Marketing,product,definition-based,product mix,medium,0.99
cq_000335_7b3c4026c7,Marketing,product,definition-based,product mix,medium,0.91
cq_000336_041d1ab9f7,Marketing,product,definition-based,product mix,medium,0.99
cq_000337_50368bcc12,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.47
cq_000338_4890cce6da,Planning,planning process,definition-based,types of plans,easy,0.99
cq_000339_ccebcc6153,Entrepreneurship Development,competencies and values,definition-based,entrepreneur characteristics,easy,0.78
cq_000340_541f07ae1e,Nature and Significance of Management,features of management,feature-identification,entrepreneur characteristics,easy,0.81
cq_000341_240385d3d6,Staffing,staffing process,definition-based,recruitment,easy,0.59
cq_000342_8c7feb78b0,Marketing,marketing meaning,feature-identification,types of plans,easy,0.57
cq_000343_934e1b9272,Staffing,staffing process,definition-based,recruitment,easy,0.99
cq_000344_3f86aec768,Nature and Significance of Management,functions of management,chronology/process order,planning,easy,0.99
cq_000345_7d7bbf081c,Planning,importance,feature-identification,planning,easy,0.96
cq_000346_e5a4cab23c,Principles of Management,nature of principles,case-study diagnosis,principles,easy,0.99
cq_000347_b2bc87ea8e,Organising,meaning and process,match-the-following,division of work,medium,0.99
cq_000348_5616d59174,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000349_175987605b,Principles of Management,Fayol principles,case-study diagnosis,financial risk,easy,0.98
cq_000350_35bb06138d,Planning,planning process,chronology/process order,types of plans,easy,0.99
cq_000351_4eac2014b8,Principles of Management,Fayol principles,principle-identification,unity of command,easy,0.76
cq_000352_e0195c9ee9,Controlling,control process,definition-based,management,easy,0.86
cq_000353_ed34be5b19,Controlling,control process,statement true/false,controlling,easy,0.92
cq_000354_36b1cc7acf,Marketing,promotion,statement true/false,promotion mix,easy,0.99
cq_000355_b4e16a9ce8,Marketing,channels of distribution,definition-based,place/channel,easy,0.86
cq_000356_3161dcd8ed,Directing,communication,definition-based,communication,easy,0.99
cq_000357_56fa8426db,Controlling,control process,chronology/process order,performance,easy,0.92
cq_000358_20d688c600,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.52
cq_000359_6a0243cab1,Staffing,training and development,case-study diagnosis,training,medium,0.99
cq_000360_26a30a66fe,Controlling,relationship with planning,definition-based,types of plans,easy,0.82
cq_000361_d3bf10db05,Planning,types of plans,match-the-following,types of plans,medium,0.90
cq_000362_fdd9da4622,Principles of Management,Fayol principles,principle-identification,centralisation/decentralisation,easy,0.99
cq_000363_6f8258876c,Marketing,channels of distribution,chronology/process order,place/channel,easy,0.99
cq_000364_fbaa81be59,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.46
cq_000365_fbdf83e98c,Consumer Protection,consumer rights,match-the-following,consumer rights,medium,0.99
cq_000366_57d6634b3f,Organising,organisation structure,case-study diagnosis,structure,medium,0.99
cq_000367_fb1024f5bf,Entrepreneurship Development,concept and functions,feature-identification,entrepreneur characteristics,easy,0.88
cq_000368_3fa4d62c54,Directing,leadership,definition-based,leadership style,easy,0.99
cq_000369_55dec0a25c,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000370_0e5b17b48c,Directing,communication,definition-based,place/channel,easy,0.94
cq_000371_f543ec4ee7,Business Finance,investment decision,definition-based,working capital,easy,0.73
cq_000372_01edb7f4a7,Business Finance,fixed capital,definition-based,financial risk,easy,0.82
cq_000373_612ac6859d,Staffing,training and development,definition-based,selection,easy,0.92
cq_000374_5b5ef32154,Business Finance,financial management,definition-based,maximization,easy,0.99
cq_000375_de2aa40eff,Organising,organisation structure,definition-based,capital structure,easy,0.57
cq_000376_14d671dc3e,Marketing,marketing mix,match-the-following,selection,medium,0.77
cq_000377_95496d1eff,Directing,Maslow hierarchy,definition-based,maslow hierarchy,medium,0.99
cq_000378_8af0696146,Directing,Maslow hierarchy,definition-based,maslow hierarchy,medium,0.99
cq_000379_bfcbb63988,Directing,Maslow hierarchy,definition-based,maslow hierarchy,medium,0.99
cq_000380_2ee74f0070,Directing,Maslow hierarchy,definition-based,maslow hierarchy,medium,0.99
cq_000381_e23fb058eb,Directing,Maslow hierarchy,definition-based,maslow hierarchy,medium,0.99
cq_000382_d5aa919f81,Business Environment,dimensions,statement true/false,environment,easy,0.99
cq_000383_296aceaa3b,Business Environment,dimensions,definition-based,environment,easy,0.99
cq_000384_7926a1fb89,Business Environment,dimensions,statement true/false,environment,easy,0.99
cq_000385_c8d62c7f88,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000386_81731b709e,Business Environment,dimensions,definition-based,dimension,easy,0.99
cq_000387_0b32f96ce0,Nature and Significance of Management,levels of management,definition-based,management,easy,0.99
cq_000388_51f7fd30dd,Directing,leadership,definition-based,types of plans,easy,0.56
cq_000389_eb5e8cda17,Consumer Protection,importance,case-study diagnosis,consumer,medium,0.84
cq_000390_3be340d02d,Marketing,channels of distribution,case-study diagnosis,place/channel,medium,0.84
cq_000391_417074cddf,Organising,organisation structure,definition-based,communication barriers,easy,0.99
cq_000392_d383b7ca75,Entrepreneurship Development,concept and functions,feature-identification,types of plans,easy,0.53
cq_000393_69019b0b71,Business Finance,financing decision,definition-based,types of plans,easy,0.79
cq_000394_4de533f762,Principles of Management,nature of principles,statement true/false,nature,easy,0.99
cq_000395_d9fe636f6f,Marketing,promotion,case-study diagnosis,promotion mix,medium,0.99
cq_000396_01b6675bde,Business Finance,financing decision,definition-based,financial risk,easy,0.64
cq_000397_88fb202928,Marketing,Classification of products,match-the-following,products,medium,0.36
cq_000398_1157fe6242,Nature and Significance of Management,levels of management,definition-based,management,easy,0.99
cq_000399_2b1e241f3f,Directing,communication,example-to-concept,communication barriers,easy,0.99
cq_000400_339701a1e8,Marketing,product,match-the-following,product mix,medium,0.99
cq_000401_625e035424,Business Finance,financing decision,match-the-following,financial risk,medium,0.81
cq_000402_b005c50450,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000403_c199ab297f,Nature and Significance of Management,features of management,feature-identification,management,easy,0.99
cq_000404_fc8e49cc05,Business Finance,financial planning,definition-based,types of plans,easy,0.92
cq_000405_3369728b9c,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.72
cq_000406_e37ba7b77f,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.93
cq_000407_0ffd22b151,Business Finance,working capital,definition-based,working capital,easy,0.92
cq_000408_9d4aca09e9,Consumer Protection,consumer rights,match-the-following,equity,hard,0.55
cq_000409_e7f20e7af8,Staffing,recruitment,definition-based,recruitment,easy,0.99
cq_000410_08ea1553ed,Controlling,control process,chronology/process order,performance,easy,0.99
cq_000411_c927fb1f3f,Planning,planning process,chronology/process order,planning,easy,0.99
cq_000412_9aba8b6fa1,Business Finance,financing decision,definition-based,types of plans,easy,0.80
cq_000413_dfd63ed0bf,Planning,importance,match-the-following,planning,medium,0.99
cq_000414_c4e0b4ec17,Staffing,staffing process,chronology/process order,recruitment,easy,0.99
cq_000415_c72bce09cb,Business Finance,Capital Structure,definition-based,types of plans,easy,0.33
cq_000416_e65885e2a8,Planning,limitations,definition-based,entrepreneur characteristics,easy,0.99
cq_000417_9d42a0f577,Consumer Protection,importance,definition-based,delegation,easy,0.99
cq_000418_4f589d022b,Marketing,product,definition-based,product mix,easy,0.99
cq_000419_50d5b61b48,Staffing,selection,definition-based,selection,easy,0.99
cq_000420_70d2533e30,Organising,meaning and process,chronology/process order,division of work,easy,0.99
cq_000421_7b40b3e1a9,Directing,communication,definition-based,communication,easy,0.74
cq_000422_a5119254cb,Marketing,promotion,definition-based,promotion mix,easy,0.99
cq_000423_c6630be467,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.99
cq_000424_ff32c71add,Principles of Management,nature of principles,case-study diagnosis,training,easy,0.99
cq_000425_4190237f7a,Entrepreneurship Development,concept and functions,feature-identification,entrepreneurship,easy,0.54
cq_000426_f7f8c6a1ce,Staffing,staffing process,definition-based,recruitment,easy,0.99
cq_000427_e64bacaa3d,Principles of Management,Fayol principles,principle-identification,delegation,medium,0.99
cq_000428_afff3b9d09,Principles of Management,Fayol principles,principle-identification,scalar chain,medium,0.93
cq_000429_f0ca218eec,Principles of Management,Fayol principles,principle-identification,centralisation/decentralisation,medium,0.90
cq_000430_c9f951d21d,Principles of Management,Fayol principles,case-study diagnosis,unity of direction,medium,0.97
cq_000431_6136ab5b96,Principles of Management,Fayol principles,principle-identification,unity of direction,medium,0.99
cq_000432_b4ee69863e,Business Environment,dimensions,definition-based,environment,medium,0.90
cq_000433_04d4234f34,Business Environment,dimensions,definition-based,environment,hard,0.93
cq_000434_41d0c76cbb,Business Environment,dimensions,definition-based,environment,hard,0.99
cq_000435_fa969c1cb4,Business Environment,dimensions,definition-based,environment,hard,0.87
cq_000436_3f6f2be537,Business Environment,importance of environment,definition-based,types of plans,hard,0.83
cq_000437_078c8fe4f9,Planning,meaning and features,feature-identification,planning,easy,0.99
cq_000438_d5253e012d,Staffing,staffing process,chronology/process order,selection,easy,0.99
cq_000439_4fa85abdb4,Business Finance,financing decision,definition-based,financial risk,easy,0.73
cq_000440_f9ce1733d9,Controlling,meaning and importance,definition-based,controlling,easy,0.99
cq_000441_67af97070b,Business Finance,financial planning,statement true/false,analysis,easy,0.57
cq_000442_9705a921d1,Controlling,relationship with planning,definition-based,planning,easy,0.91
cq_000443_f5ba1061cd,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000444_7ef9e11712,Planning,types of plans,definition-based,plans,easy,0.68
cq_000445_0be6b077d6,Principles of Management,Taylor scientific management,feature-identification,scientific management,easy,0.40
cq_000446_a6f44a3781,Entrepreneurship Development,concept and functions,statement true/false,entrepreneur characteristics,easy,0.45
cq_000447_fccff79eae,Planning,types of plans,definition-based,types of plans,easy,0.87
cq_000448_2012875e74,Nature and Significance of Management,levels of management,definition-based,level,easy,0.99
cq_000449_45ba68ea12,Controlling,control process,chronology/process order,controlling,easy,0.92
cq_000450_baaa9a3b9c,Principles of Management,Fayol principles,principle-identification,scalar chain,easy,0.96
cq_000451_aa8386d500,Consumer Protection,consumer rights,match-the-following,consumer rights,medium,0.99
cq_000452_3d214274a4,Controlling,control process,definition-based,control,easy,0.99
cq_000453_3ba019934a,Staffing,selection,definition-based,selection,easy,0.99
cq_000454_4d787abcfa,Directing,principles of directing,feature-identification,unity of command,easy,0.35
cq_000455_6f36c3ef9f,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.99
cq_000456_287f14e864,Nature and Significance of Management,decentralization,definition-based,management,easy,0.35
cq_000457_ca3871233e,Business Finance,financial management,feature-identification,price mix,easy,0.65
cq_000458_ca4a75c58d,Principles of Management,techniques of scientific management,definition-based,scientific management,easy,0.99
cq_000459_24a02f1858,Principles of Management,Fayol principles,principle-identification,delegation,easy,0.99
cq_000460_f12e621484,Organising,decentralisation,match-the-following,centralisation/decentralisation,medium,0.60
cq_000461_7a3e088c98,Entrepreneurship Development,need and characteristics,definition-based,maslow hierarchy,easy,0.92
cq_000462_bae15e1236,Entrepreneurship Development,need and characteristics,feature-identification,entrepreneurship,easy,0.92
cq_000463_ec75086352,Marketing,product,match-the-following,product mix,medium,0.99
cq_000464_6c357769b8,Directing,communication,chronology/process order,communication,easy,0.99
cq_000465_1d24ec2437,Staffing,training and development,definition-based,training,easy,0.99
cq_000466_20e2547c15,Principles of Management,Fayol principles,match-the-following,scalar chain,medium,0.99
cq_000467_1e3091fb52,Principles of Management,Taylor scientific management,principle-identification,scientific management,easy,0.99
cq_000468_94303c3977,Nature and Significance of Management,functions of management,statement true/false,delegation,medium,0.74
cq_000469_a385235899,Consumer Protection,importance,statement true/false,consumer redressal,easy,0.92
cq_000470_274c73b65b,Business Environment,dimensions,definition-based,environment,easy,0.99
cq_000471_1016e4dae0,Business Finance,financing decision,statement true/false,financial risk,easy,0.76
cq_000472_942a4c8947,Business Environment,dimensions,example-to-concept,environment,easy,0.99
cq_000473_bab318f2b7,Business Finance,financing decision,match-the-following,financial risk,medium,0.83
cq_000474_bd77a721aa,Staffing,recruitment,feature-identification,recruitment,easy,0.99
cq_000475_e555c5f24d,Planning,planning process,chronology/process order,planning,easy,0.99
cq_000476_ad871df6e1,Nature and Significance of Management,features of management,statement true/false,management,easy,0.99
cq_000477_55b673fe04,Nature and Significance of Management,coordination,definition-based,coordination,easy,0.72
cq_000478_5ffeea6110,Planning,meaning and features,definition-based,types of plans,easy,0.53
cq_000479_587ca314e1,Business Finance,investment decision,definition-based,investment,easy,0.77
cq_000480_7bc989d22b,Directing,leadership,definition-based,leadership style,easy,0.72
cq_000481_69aa74ca04,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000482_63c1e9b22d,Marketing,product,definition-based,recruitment,easy,0.76
cq_000483_0ad541a272,Marketing,product,feature-identification,product mix,easy,0.99
cq_000484_257e128a4e,Marketing,product,definition-based,types of plans,easy,0.70
cq_000485_9e045ad3c3,Marketing,pricing,definition-based,types of plans,easy,0.99
cq_000486_1f2815249a,Marketing,marketing mix,definition-based,marketing mix,easy,0.92
cq_000487_9fd9ec1e66,Nature and Significance of Management,coordination,definition-based,training,easy,0.70
cq_000488_710cb799f3,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000489_e5981b9472,Directing,communication,example-to-concept,communication barriers,easy,0.84
cq_000490_3871f10e3d,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.90
cq_000491_11c2126b4b,Marketing,marketing mix,definition-based,marketing mix,easy,0.31
cq_000492_11203f6600,Directing,communication,definition-based,formal/informal organisation,easy,0.99
cq_000493_c569901b2b,Marketing,marketing mix,feature-identification,price mix,easy,0.99
cq_000494_5a8b86023e,Organising,delegation,principle-identification,delegation,easy,0.99
cq_000495_6a4e4f9c82,Principles of Management,Fayol principles,principle-identification,division of work,easy,0.99
cq_000496_0ffe548e77,Directing,communication,feature-identification,communication barriers,easy,0.99
cq_000497_8cb550187a,Planning,planning process,definition-based,types of plans,easy,0.99
cq_000498_4c27f2d191,Staffing,training and development,match-the-following,training,medium,0.99
cq_000499_cd6bf9c53f,Principles of Management,techniques of scientific management,definition-based,scientific management,easy,0.99
cq_000500_fc08621085,Controlling,control process,chronology/process order,controlling,easy,0.91
cq_000501_efe358ffe0,Directing,communication,definition-based,communication barriers,easy,0.99
cq_000502_ac56714518,Staffing,staffing process,match-the-following,types of plans,medium,0.61
cq_000503_b477dc347b,Nature and Significance of Management,functions of management,definition-based,management,easy,0.58
cq_000504_503e54d8cc,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000505_4e19b94721,Entrepreneurship Development,need and characteristics,feature-identification,maslow hierarchy,easy,0.80
cq_000506_46454486c1,Business Finance,fixed capital,definition-based,financial risk,easy,0.57
cq_000507_78eb42a3f3,Entrepreneurship Development,need and characteristics,definition-based,achievement,easy,0.92
cq_000508_9d1454920b,Business Finance,financial planning,definition-based,types of plans,easy,0.79
cq_000509_33235cb8d0,Marketing,promotion,definition-based,promotion mix,easy,0.99
cq_000510_4f9bbed536,Planning,limitations,definition-based,entrepreneur characteristics,easy,0.99
cq_000511_c58520a8ee,Entrepreneurship Development,competencies and values,definition-based,promotion mix,easy,0.71
cq_000512_57eb8b8cc6,Business Finance,financing decision,definition-based,financial risk,easy,0.57
cq_000513_5c92e58b3c,Directing,communication,principle-identification,directing,easy,0.69
cq_000514_0b839f190e,Organising,formal and informal organisation,match-the-following,formal/informal organisation,medium,0.99
cq_000515_af6f267819,Nature and Significance of Management,features of management as an art,feature-identification,entrepreneur characteristics,easy,0.35
cq_000516_71e8476e77,Controlling,meaning and importance,definition-based,types of plans,easy,0.78
cq_000517_8974eac088,Nature and Significance of Management,importance of management,definition-based,management,easy,0.78
cq_000518_3e2e513409,Business Environment,dimensions,match-the-following,financial risk,medium,0.99
cq_000519_07b5215030,Marketing,product,statement true/false,product mix,easy,0.89
cq_000520_31845002c4,Business Environment,dimensions,example-to-concept,environment,easy,0.99
cq_000521_ee7af7b458,Entrepreneurship Development,process,definition-based,development,easy,0.91
cq_000522_45ca888d79,Organising,meaning and process,chronology/process order,delegation,easy,0.76
cq_000523_6d6a0702e9,Nature and Significance of Management,functions of management,match-the-following,management,medium,0.79
cq_000524_e24c84e52f,Nature and Significance of Management,levels of management,definition-based,centralisation/decentralisation,easy,0.86
cq_000525_482f5c707d,Organising,delegation,definition-based,delegation,easy,0.99
cq_000526_4619c36e2d,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000527_782a7466e6,Staffing,recruitment,definition-based,recruitment,easy,0.75
cq_000528_cdc4f1183e,Staffing,meaning and importance,definition-based,staffing,easy,0.59
cq_000529_74e9c0a3bd,Staffing,training and development,definition-based,training,easy,0.96
cq_000530_57444d7e21,Staffing,employee retention,definition-based,types of plans,easy,0.33
cq_000531_c2bf6458f9,Entrepreneurship Development,process,case-study diagnosis,recruitment,medium,0.37
cq_000532_89c266d4da,Consumer Protection,legal redressal,definition-based,consumer,easy,0.99
cq_000533_37a33238cf,Marketing,marketing vs selling,definition-based,marketing,easy,0.99
cq_000534_8194b97c3d,Consumer Protection,legal redressal,definition-based,consumer redressal,easy,0.91
cq_000535_b84f0f2946,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.99
cq_000536_981343ed4c,Consumer Protection,consumer responsibilities,definition-based,store,easy,0.31
cq_000537_cb6c9783c7,Marketing,product,definition-based,product mix,easy,0.55
cq_000538_a090e66cf6,Controlling,meaning and importance,feature-identification,discipline,easy,0.80
cq_000539_4982b2d55e,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.96
cq_000540_cb4747ebdb,Business Environment,dimensions,match-the-following,price mix,medium,0.99
cq_000541_ab2c603370,Principles of Management,Taylor scientific management,case-study diagnosis,scientific management,easy,0.99
cq_000542_3d4694089e,Staffing,recruitment,chronology/process order,recruitment,easy,0.87
cq_000543_a4d51bcd3e,Staffing,staffing process,chronology/process order,recruitment,easy,0.99
cq_000544_40faf25f0c,Nature and Significance of Management,functions of management,definition-based,management,easy,0.98
cq_000545_4ddd113671,Business Environment,dimensions,match-the-following,environment,medium,0.82
cq_000546_980eecd192,Nature and Significance of Management,coordination,definition-based,division of work,easy,0.66
cq_000547_89f1429faa,Business Finance,financial management,definition-based,equity,easy,0.99
cq_000548_639b39c334,Nature and Significance of Management,levels of management,definition-based,management,easy,0.99
cq_000549_15fb80d6ce,Business Finance,investment decision,definition-based,types of plans,easy,0.99
cq_000550_eff7728f05,Controlling,control process,chronology/process order,controlling,easy,0.92
cq_000551_f40ffad712,Marketing,product,statement true/false,product mix,medium,0.99
cq_000552_970989bb25,Staffing,training and development,definition-based,training,easy,0.99
cq_000553_ca49fa5b55,Organising,delegation,definition-based,types of plans,easy,0.92
cq_000554_62c5c34098,Staffing,recruitment,feature-identification,recruitment,easy,0.79
cq_000555_c20dd86e58,Directing,motivation,feature-identification,directing,easy,0.87
cq_000556_44bcbc4988,Directing,Maslow hierarchy,definition-based,maslow hierarchy,easy,0.99
cq_000557_883343c455,Nature and Significance of Management,meaning and objectives,example-to-concept,types of plans,easy,0.48
cq_000558_9f0a1c767a,Business Finance,fixed capital,definition-based,financial risk,easy,0.76
cq_000559_96790ba1fc,Marketing,promotion,statement true/false,types of plans,medium,0.81
cq_000560_9ef4e59d6b,Organising,meaning and process,chronology/process order,division of work,easy,0.82
cq_000561_db1b3f324d,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000562_e0d9edc5dc,Directing,leadership,statement true/false,training,medium,0.99
cq_000563_60994f77df,Nature and Significance of Management,functions of management,definition-based,types of plans,easy,0.56
cq_000564_88a7b5d7bf,Organising,organisation structure,definition-based,formal/informal organisation,easy,0.99
cq_000565_be587e7084,Principles of Management,Taylor scientific management,principle-identification,scientific management,easy,0.99
cq_000566_bb358c9e11,Planning,types of plans,feature-identification,types of plans,easy,0.59
cq_000567_d5db72c309,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000568_225a195b16,Consumer Protection,NGOs and relief,case-study diagnosis,types of plans,medium,0.55
cq_000569_12d3544c56,Principles of Management,Fayol principles,match-the-following,discipline,medium,0.52
cq_000570_e875e4f36d,Principles of Management,Fayol principles,principle-identification,scalar chain,easy,0.99
cq_000571_77b7aadb29,Marketing,Classification of Products,match-the-following,products,medium,0.36
cq_000572_f409373448,Entrepreneurship Development,need and characteristics,feature-identification,entrepreneurship,easy,0.90
cq_000573_8ee1fe0864,Organising,delegation,match-the-following,delegation,medium,0.99
cq_000574_5433e6273f,Planning,limitations,definition-based,entrepreneur characteristics,easy,0.99
cq_000575_523c4e9fa9,Controlling,relationship with planning,statement true/false,controlling,easy,0.92
cq_000576_a783278d3c,Entrepreneurship Development,concept and functions,feature-identification,leadership style,easy,0.93
cq_000577_6ab5e296a0,Marketing,marketing mix,definition-based,marketing mix,easy,0.99
cq_000578_337b89c229,Marketing,pricing,definition-based,types of plans,easy,0.99
cq_000579_bd865c2819,Marketing,marketing mix,definition-based,marketing mix,easy,0.92
cq_000580_879c57458e,Marketing,product,definition-based,types of plans,easy,0.82
cq_000581_b2255e022c,Marketing,marketing mix,feature-identification,marketing mix,easy,0.99
cq_000582_8d0ffa36f1,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.99
cq_000583_69af3c8013,Consumer Protection,importance,feature-identification,price mix,medium,0.92
cq_000584_1e2d4ab5bb,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.86
cq_000585_43bd971ac1,Consumer Protection,legal redressal,definition-based,consumer redressal,easy,0.99
cq_000586_ff6aa8f495,Consumer Protection,consumer responsibilities,case-study diagnosis,delegation,medium,0.51
cq_000587_5811d0d340,Principles of Management,Taylor scientific management,principle-identification,discipline,easy,0.99
cq_000588_5828259588,Directing,meaning and importance,statement true/false,directing,easy,0.71
cq_000589_12a03ec465,Business Environment,dimensions,definition-based,financial risk,easy,0.56
cq_000590_43253e0b95,Planning,limitations,statement true/false,financial risk,medium,0.99
cq_000591_2a37976bc0,Nature and Significance of Management,coordination,statement true/false,management,easy,0.77
cq_000592_2114fb9116,Organising,formal and informal organisation,feature-identification,formal/informal organisation,easy,0.92
cq_000593_866e0b20cf,Consumer Protection,consumer rights,statement true/false,consumer rights,medium,0.99
cq_000594_d5ea20e52a,Controlling,control process,chronology/process order,performance,easy,0.92
cq_000595_a6a2b3e51f,Staffing,training and development,definition-based,training,easy,0.99
cq_000596_e6a94431ae,Business Finance,investment decision,definition-based,working capital,easy,0.54
cq_000597_82b04580ba,Marketing,promotion,statement true/false,promotion mix,easy,0.99
cq_000598_976fade088,Controlling,control process,case-study diagnosis,management,medium,0.99
cq_000599_e32f003a05,Business Finance,financing decision,definition-based,financial risk,easy,0.70
cq_000600_fa4b11f170,Consumer Protection,importance,definition-based,financial risk,easy,0.92
cq_000601_004aecf9dc,Nature and Significance of Management,levels of management,definition-based,level,easy,0.99
cq_000602_badca5a84c,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000603_02090f5eb5,Marketing,product classification,match-the-following,products,medium,0.36
cq_000604_b3dc0ae019,Directing,communication,match-the-following,communication barriers,medium,0.99
cq_000605_68921c5bbc,Directing,motivation,definition-based,directing,easy,0.99
cq_000606_3f3eb078ea,Entrepreneurship Development,process,definition-based,entrepreneurship,easy,0.73
cq_000607_37973002d4,Nature and Significance of Management,coordination,definition-based,division of work,easy,0.69
cq_000608_6802e73968,Nature and Significance of Management,functions of management,definition-based,delegation,easy,0.99
cq_000609_0dd1ee388f,Consumer Protection,importance,definition-based,financial risk,easy,0.99
cq_000610_82b55dca8b,Principles of Management,Fayol principles,statement true/false,scalar chain,medium,0.99
cq_000611_7047881647,Entrepreneurship Development,need and characteristics,definition-based,maslow hierarchy,easy,0.68
cq_000612_d110b3ad00,Staffing,training and development,definition-based,training,easy,0.99
cq_000613_dd8ca967a6,Marketing,marketing meaning,chronology/process order,marketing,easy,0.99
cq_000614_747b3d9967,Directing,motivation,chronology/process order,motivation,easy,0.93
cq_000615_5d10b222de,Nature and Significance of Management,functions of management,statement true/false,types of plans,easy,0.62
cq_000616_e97337733e,Planning,types of plans,statement true/false,types of plans,easy,0.87
cq_000617_bac89e2291,Entrepreneurship Development,competencies and values,definition-based,entrepreneur characteristics,easy,0.73
cq_000618_84bca38966,Staffing,selection,match-the-following,selection,medium,0.58
cq_000619_60f8f15bc1,Planning,types of plans,match-the-following,types of plans,medium,0.61
cq_000620_ad71cee08b,Nature and Significance of Management,dimensions of management,definition-based,management,easy,0.35
cq_000621_b8589b7012,Principles of Management,Fayol principles,statement true/false,delegation,easy,0.99
cq_000622_38a10282b1,Organising,meaning and process,chronology/process order,division of work,easy,0.99
cq_000623_9b2f542715,Principles of Management,Taylor scientific management,statement true/false,scientific management,medium,0.99
cq_000624_d954961a3e,Business Finance,investment decision,definition-based,percent,easy,0.48
cq_000625_303c46d0bf,Staffing,meaning and importance,match-the-following,staffing,medium,0.74
cq_000626_989d358190,Business Finance,working capital,statement true/false,financial risk,easy,0.92
cq_000627_3ed726cfee,Business Finance,financing decision,case-study diagnosis,financial risk,easy,0.60
cq_000628_e75f103830,Business Finance,financial management,case-study diagnosis,financial risk,medium,0.62
cq_000629_0b86c5268f,Business Finance,financing decision,definition-based,financial risk,easy,0.91
cq_000630_0f5392a103,Business Finance,financial statements and ratios,definition-based,financial risk,easy,0.36
cq_000631_d09984dc67,Organising,importance,statement true/false,entrepreneur characteristics,easy,0.62
cq_000632_700adb2956,Organising,meaning and process,statement true/false,division of work,easy,0.99
cq_000633_0b868ec69e,Organising,organisation structure,statement true/false,structure,easy,0.99
cq_000634_f1da42a3c4,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000635_af1f825c0e,Principles of Management,Fayol principles,statement true/false,division of work,easy,0.51
cq_000636_b19d64f59b,Controlling,control process,definition-based,controlling,easy,0.87
cq_000637_c5c24529ed,Business Environment,dimensions,match-the-following,financial risk,medium,0.99
cq_000638_17caf85699,Entrepreneurship Development,concept and functions,feature-identification,leadership style,easy,0.55
cq_000639_7402aa5995,Planning,planning process,statement true/false,entrepreneur characteristics,medium,0.78
cq_000640_43007ba35f,Marketing,product,feature-identification,product mix,easy,0.99
cq_000641_7f2f8ea3e6,Principles of Management,Taylor scientific management,principle-identification,scalar chain,easy,0.78
cq_000642_6b151f1c9e,Controlling,control process,match-the-following,control,medium,0.92
cq_000643_b44c26f269,Nature and Significance of Management,features of management,feature-identification,entrepreneur characteristics,easy,0.74
cq_000644_bd65cbfa83,Organising,delegation,match-the-following,delegation,medium,0.99
cq_000645_e3e2e72bf9,Directing,Maslow hierarchy,match-the-following,maslow hierarchy,medium,0.60
cq_000646_326ca32f99,Marketing,product,definition-based,product mix,easy,0.99
cq_000647_9dde582eeb,Entrepreneurship,Entrepreneurial Competencies,statement true/false,entrepreneur characteristics,medium,0.34
cq_000648_1423c4fa9d,Business Finance,working capital,chronology/process order,fixed capital,easy,0.57
cq_000649_c1934a6fbb,Principles of Management,Taylor scientific management,principle-identification,scientific management,easy,0.99
